文件,函数,参数,注解
typer\models.py,__init__,cls,"Optional[type[""TyperGroup""]]"
typer\models.py,__init__,invoke_without_command,bool
typer\models.py,__init__,no_args_is_help,bool
typer\models.py,__init__,subcommand_metavar,Optional[str]
typer\models.py,__init__,chain,bool
typer\models.py,__init__,result_callback,"Optional[Callable[..., Any]]"
typer\models.py,__init__,context_settings,"Optional[dict[Any, Any]]"
typer\models.py,__init__,callback,"Optional[Callable[..., Any]]"
typer\models.py,__init__,help,Optional[str]
typer\models.py,__init__,epilog,Optional[str]
typer\models.py,__init__,short_help,Optional[str]
typer\models.py,__init__,options_metavar,str
typer\models.py,__init__,add_help_option,bool
typer\models.py,__init__,hidden,bool
typer\models.py,__init__,deprecated,bool
typer\models.py,__init__,rich_help_panel,"Union[str, None]"
typer\models.py,__init__,default,Optional[Any]
typer\models.py,__init__,param_decls,Optional[Sequence[str]]
typer\models.py,__init__,callback,"Optional[Callable[..., Any]]"
typer\models.py,__init__,metavar,Optional[str]
typer\models.py,__init__,expose_value,bool
typer\models.py,__init__,is_eager,bool
typer\models.py,__init__,envvar,"Optional[Union[str, list[str]]]"
typer\models.py,__init__,shell_complete,"Optional[
        Callable[
            [click.Context, click.Parameter, str],
            Union[list[""click.shell_completion.CompletionItem""], list[str]],
        ]
    ]"
typer\models.py,__init__,autocompletion,"Optional[Callable[..., Any]]"
typer\models.py,__init__,default_factory,"Optional[Callable[[], Any]]"
typer\models.py,__init__,parser,"Optional[Callable[[str], Any]]"
typer\models.py,__init__,click_type,Optional[click.ParamType]
typer\models.py,__init__,show_default,"Union[bool, str]"
typer\models.py,__init__,show_choices,bool
typer\models.py,__init__,show_envvar,bool
typer\models.py,__init__,help,Optional[str]
